0,1,2,3
1,using_computer_0,"{'user': 'Human', 'text': 'Try clicking on the internet.', 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'Ok now just hit the same power button from before.', 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_3,"{'user': 'Alien', 'text': 'Okay', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Very good, now close the cupboard', 'intent': 'Inform_next_step'}"
1,watch_tv_0,"{'user': 'Alien', 'text': 'Is this the couch?', 'intent': 'Ask_about_object'}","{'user': 'Alien', 'text': 'The TV is off now', 'intent': 'Inform_condition'}"
1,read_book_1,"{'user': 'Alien', 'text': 'Sorry, I do not know what to do with this book now that you told me to read the other book', 'intent': 'Inform_confused'}","{'user': 'Alien', 'text': 'Sounds good! Thanks again for showing me those books', 'intent': 'Inform_understanding'}"
1,using_oven_0,"{'user': 'Alien', 'text': 'Yes, the plates are over there.', 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': 'Thank you for being so helpful! See you soon!', 'intent': 'Extend_goodbyes'}"
1,using_stove_3,"{'user': 'Human', 'text': 'Use the circular dials to turn it on', 'intent': 'Inform_action'}","{'user': 'Human', 'text': ""Great, I'll see you later then!"", 'intent': 'Extend_goodbyes'}"
1,bedroom_cabinet_1,"{'user': 'Alien', 'text': 'Yes. I believe I remember.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': ""Let's head over to the computer in the next room where I'll walk you through the process."", 'intent': 'Inform_next_step'}"
1,wash_glass_0,"{'user': 'Human', 'text': 'Now turn on the sink. Turn the handle to start the water.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Alright', 'intent': 'Inform_understanding'}"
1,watch_tv_0,"{'user': 'Human', 'text': 'Just push the power button again.', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}"
1,using_stove_3,"{'user': 'Human', 'text': 'Yeah, turn the dial to what it was before.', 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': 'Thank you for the help, Michael.', 'intent': 'Casual_response'}"
1,bedroom_cabinet_2,"{'user': 'Alien', 'text': ""Look i'm tall enough to reach the top of the shelf!"", 'intent': 'Inform_observation'}","{'user': 'Alien', 'text': 'Which level do I put the toy in?', 'intent': 'Ask_next_step'}"
1,bedroom_cabinet_3,"{'user': 'Alien', 'text': 'Okay', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Very good, now close the cupboard', 'intent': 'Inform_next_step'}"
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'Yes, we need to go to the other room with the cupboard in it', 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': 'Thank you for showing me how to tidy up the room', 'intent': 'Casual_response'}"
1,using_oven_3,"{'user': 'Alien', 'text': 'Okay.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Yea, sure does!', 'intent': 'Casual_response'}"
1,wash_glass_1,"{'user': 'Alien', 'text': 'Okay, I will walk back to the table', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': ""Yes, let's begin."", 'intent': 'Yes-no_positive'}"
