dialog_id,CooperativityRate,Turn Exchange,Formal System Query,NL System Query,Formal User Response,User Response,NL_Student,Correctness Rate,Naturalness Rate,Evaluator,Comments,Board
186,100,0,Start(),Do you know how to play Quarto?,Start,"Yes, I know.",Tianyi,3,4,Dave,"I understand what you are trying to express, but it sounds like the user is simply responding in the affirmative to the formal system's query and leaving it at that ",0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
186,100,1,RequestNewWinCondition(),Can you show me how to win in this game?,Inform(),Assume you demonstrate this win condition,Tianyi,5,5,Dave,great!,0-0-0-0-0-0-0-0-0-0-0-0-15-14-13-12
186,100,2,"Same, Confirm(User_ID=1, Translate('row1'))","In this case, let's call this win1, if we move all pieces up to the second row, is it still a win?",Affirm,"That's right, it will still be a win.",Tianyi,5,4,Dave,"pretty good; ""win1"" too formal",0-0-0-0-0-0-0-0-0-0-0-0-15-14-13-12
186,100,3,"Same, RequestOtherPlayers()","And, is it possible that another player can do something to prevent the win?",Inform([]),That's not possilbe.,Tianyi,5,4,Dave,"pretty good; ""and,..."" is unnecessary",0-0-0-0-0-0-0-0-0-0-0-0-15-14-13-12
186,100,4,"Same , Confirm(User_ID=1, Color)",Does the win here affected by color?,Negate(),"No, the color doesn't matter here.",Tianyi,5,3,Dave,"""does"" should be ""is""; ""affected by the color"" not terrible, not great; response is great",0-0-0-0-0-0-0-0-0-0-0-0-15-14-13-12
186,100,5,RequestNewWinCondition(),Can you show me a new win condition?,Inform(),Assume you demonstrate this win condition,Tianyi,5,4,Dave,"""win condition"" too formal",0-0-0-0-0-0-0-0-0-0-0-0-14-2-8-10
186,100,6,RequestNewWinCondition(),What else can be a win condition?,Inform(),Assume you demonstrate this win condition,Tianyi,5,3,Dave,"""win condition"" too formal; ""what else can be a win condition"" a bit awkward-sounding",12-0-0-0-10-0-0-0-13-0-0-0-9-0-0-0
186,100,7,"Context Switch, Confirm(User_ID=1, Height)","For this case, let’s call this win2, is that a win becasue of some pieces are tall?",Negate(),"No, the height property here is not the reason of win.",Tianyi,5,2,Dave,"""win2"" too formal; ""for this case...is that a win"" awkward-sounding; ""is that a win because of some pieces are tall"" unnatural-sounding; ""height property"" too formal",0-0-0-0-0-0-0-0-0-0-0-0-14-2-8-10
186,100,8,"Context Switch, Confirm(User_ID=1, Shape)","In this board, let’s call this win3, does it win because of some pieces have the same shape?",Negate(),"Nope, in this win, the shape doesn't matter.",Tianyi,5,3,Dave,"""win3"" too formal; ""does it win"" awkward-sounding; ""because of some pieces have"" unnatural-sounding; response is great",12-0-0-0-10-0-0-0-13-0-0-0-9-0-0-0
186,100,9,RequestNewWinCondition(),What are other possible win conditions?,Inform(),Assume you demonstrate this win condition,Tianyi,5,5,Dave,great!,10-0-0-0-0-14-0-0-0-0-11-0-0-0-0-9
186,100,10,RequestNewWinCondition(),Seems like I have found some rules within them. Can you show me some other cases?,Inform(),Assume you demonstrate this win condition,Tianyi,5,4,Dave,pretty good,0-0-0-2-0-0-0-1-0-0-0-9-0-0-0-14
186,100,11,"Context Switch, Confirm(User_ID=1, Height)","In win3, that win is because all pieces are tall right?",Affirm(),"Yeah, you get it.",Tianyi,5,4,Dave,pretty good,12-0-0-0-10-0-0-0-13-0-0-0-9-0-0-0
186,100,12,Finish(),"Thank you so much, I have learned a lot.",Finish,You are welcome. I am glad that you have learned something.,Tianyi,5,4,Dave,"pretty good; ""I have"" could be ""I've""; ""you are"" could be ""you're""; ""you have"" could be ""you've""",12-0-0-0-10-0-0-0-13-0-0-0-9-0-0-0
